S.No,Software Name,Software link,One line discription,Software paid or not (Y/N),Reference (journel or publication name),Name of Person,Additional Remarks
150,FindTerm,http://linux1.softberry.com/berry.phtml?topic=findterm&group=programs&subgroup=gfindb,Finding Terminators in bacterial genomes,free,,Pavitra,
151,Human Microbiome gene prediction,http://linux1.softberry.com/berry.phtml?topic=human_microbiome&group=programs&subgroup=gfindb,rovides gene identification parameters to annotate or reannotate Human Mictrobiome bacterial sequences,free,,Pavitra,
152,SNP-select,http://linux1.softberry.com/berry.phtml?topic=snp-select&subgroup=snp&group=programs,"a stepwise filtering of input mutation set to discriminate those hardly determine a certain hereditary disease or any other ""mutational"" feature",free,,Pavitra,
153,SNP-effect1,http://linux1.softberry.com/berry.phtml?topic=snp-effect&subgroup=snp&group=programs,SNP genome location annotation; prediction of potential damaging effect on the protein structure,free,,Pavitra,
154,SNP-effect2,http://linux1.softberry.com/berry.phtml?topic=snp-effect2&subgroup=snp&group=programs,Gene annotation and prediction of SNP damaging effect,free,,Pavitra,
155,Gene-select,http://linux1.softberry.com/berry.phtml?topic=gene-select&subgroup=snp&group=programs,"Gene-select is a tool for picking genes, which are likely to be responsible for a pathological condition or phenotype features
",free,,Pavitra,
156,AddSNP,http://linux1.softberry.com/berry.phtml?topic=addsnp&subgroup=snp&group=programs,Search for known SNPs in a given sequence in NCBI database,free,,Pavitra,
157,MaliN,http://linux1.softberry.com/berry.phtml?topic=mali_nuc&group=programs&subgroup=mali,Multiple alignment for nucleotide sequences,free,,Pavitra,
158,MaliP,http://linux1.softberry.com/berry.phtml?topic=mali&group=programs&subgroup=mali,Multiple alignment for protein sequences,free,,Pavitra,
159,fgenesV0,http://linux1.softberry.com/berry.phtml?topic=virus0&group=programs&subgroup=gfindv,Generic parameters Markov chain-based viral gene prediction,free,,Pavitra,
160,SpliceDB,http://linux1.softberry.com/berry.phtml?topic=splicedb,canonical and non-canonical splice site sequences in mammalian genes,free,,Pavitra,
161,FPROM,http://linux1.softberry.com/berry.phtml?topic=fprom&group=programs&subgroup=promoter,"Human promoter prediction
",free,,Pavitra,
162,PATTERN,http://linux1.softberry.com/berry.phtml?topic=pattern&group=programs&subgroup=promoter,Pattern Search,free,,Pavitra,
163,TSSP,http://linux1.softberry.com/berry.phtml?topic=tssp&group=programs&subgroup=promoter,Prediction of PLANT Promoters (Using RegSite Plant DB,free,,Pavitra,
164,TSSG,http://linux1.softberry.com/berry.phtml?topic=tssg&group=programs&subgroup=promoter,Recognition of human PolII promoter region and start of transcription,free,,Pavitra,
165,NSITE-PL,http://linux1.softberry.com/berry.phtml?topic=nsitep&group=programs&subgroup=promoter,Recognition of PLANT Regulatory motifs with statistics,free,,Pavitra,
166,NSITEMP,http://linux1.softberry.com/berry.phtml?topic=nsitemp&group=programs&subgroup=promoter,Recognition of PLANT Regulatory motifs conserved in several sequences,free,,Pavitra,
167,POLYAH,http://linux1.softberry.com/berry.phtml?topic=polyah&group=programs&subgroup=promoter,Recognition of 3'-end cleavage and polyadenilation region,free,,Pavitra,
168,PROMH,http://linux1.softberry.com/berry.phtml?topic=promhw&group=programs&subgroup=promoter,Promoter prediction using orthologous sequences,free,,Pavitra,
169,CpGFinder,http://linux1.softberry.com/berry.phtml?topic=cpgfinder&group=programs&subgroup=promoter,CG content,free,,Pavitra,
170,ScanWM-PL,http://linux1.softberry.com/berry.phtml?topic=scanwmp&group=programs&subgroup=promoter,Search for weight matrix patterns of plant regulatory sequences,free,,Pavitra,
171,FINDREP,http://linux1.softberry.com/berry.phtml?topic=frep&subgroup=repeat&group=programs,Finds Repeats,free,,Pavitra,
172,MapREP,http://linux1.softberry.com/berry.phtml?topic=map_rep&subgroup=repeat&group=programs,map repeat on small genomes,free,,Pavitra,
173,GeneMark,http://opal.biology.gatech.edu/GeneMark/,"Gene Prediction in Bacteria, Archaea and Metagenomes",free,,Pavitra,
174,GENSCAN,http://genes.mit.edu/GENSCAN.html,Predicting the locations and exon-intron structures of genes in genomic sequences from a variety of organisms.,free,,Pavitra,
175,make-na,http://structure.usc.edu/make-na/server.html,Automatic production of DNA double helix with sequence input,free,,Pavitra,
176,Restriction Maps,http://www.vivo.colostate.edu/molkit/mapper/index.html,Generate graphical and text-based maps for restriction endonuclease cleavage of DNA,free,,Pavitra,
177,Reverse Translate,http://www.vivo.colostate.edu/molkit/rtranslate/index.html,Reverse translate a protein sequence into DNA,free,,Pavitra,
178,Manipulate and Display a DNA Sequence,http://www.vivo.colostate.edu/molkit/manip/index.html,"Perform simple manipulations on a DNA sequence (inverse, complement, inverse-complement, double-stranded etc).",free,,Pavitra,
179,Dot Plots,http://www.vivo.colostate.edu/molkit/dnadot/index.html,Examine the similarity of two DNA (or RNA) sequences by production of a similarity matrix displayed as a dot plot,free,,Pavitra,
180,ORF Finder,http://www.ncbi.nlm.nih.gov/gorf/gorf.html,graphical analysis tool which finds all open reading frames of a selectable minimum size in a user's sequence or in a sequence already in the database,free,,Pavitra,
181,PICTOGRAM,http://genes.mit.edu/pictogram.html,to help you visualize sequence alignments and consensus sequences,free,,Pavitra,
182,PlasMapper,http://wishart.biology.ualberta.ca/PlasMapper/,automatically generates and annotates plasmid maps using only the plasmid DNA sequence as input,free,,Pavitra,
183,PROMOSER,http://biowulf.bu.edu/zlab/promoser/,extraction of a large number of promoter sequences from mammalian genomes,free,,Pavitra,
184,Restriction Map Generator,http://www.algosome.com/resources/restriction-map/enzyme-digest.php,This tool analyzes a DNA sequence to identify Restriction Enzyme Sites and generate a comprehensive map overview of their locations within the DNA sequence,free,,Pavitra,
185,SOAP,http://soap.genomics.org.cn/,Short Oligonucleotide Analysis Package,free download,,Pavitra,
186,TFSEARCH,http://www.cbrc.jp/research/db/TFSEARCH.html,Searching Transcription Factor Binding Sites,free,,Pavitra,
187,Tracts,http://bip.weizmann.ac.il/tracts/tracts.html,A program to map oligopurine.oligopyrimidine and other binary DNA tracts,free,,Pavitra,
188,VISTA,http://genome.lbl.gov/vista/index.shtml,a comprehensive suite of programs and databases for comparative analysis of genomic sequences,free,,Pavitra,
189,WebACT,http://www.webact.org/WebACT/home,"provides a database of sequence comparisons between all publicly available prokaryotic genome sequences, allowing the on-line visualisation of comparisons between up to five genomic sequences, using the Artemis Comparison Tool (ACT) developed by the Sanger Institute.",free,,Pavitra,
190,ExPASy,http://www.expasy.org/phylogeny_evolution,"ExPASy is the SIB Bioinformatics Resource Portal which provides access to scientific databases and software tools (i.e., resources) in different areas of life sciences including proteomics, genomics, phylogeny, systems biology, population genetics, transcriptomics etc",freely available,,kapil,
191,Ensembl,http://asia.ensembl.org/index.html,"The Ensembl project produces genome databases for vertebrates and other eukaryotic species, and makes this information freely available online.",feeely available,,kapil,
192,Expression Atlas,http://www.ebi.ac.uk/gxa/home;jsessionid=97D6557F5E114B4AEB321AD4C9150F57,The Expression Atlas provides information on gene expression patterns under different biological conditions,freely available,,kapil,
193,PRIDE: The Proteomics Identifications Database,http://www.ebi.ac.uk/pride/archive/,"The PRIDE PRoteomics IDEntifications database is a centralized, standards compliant, public data repository for proteomics data, including protein and peptide identifications, post-translational modifications and supporting spectral evidence.",freely available,,kapil,
194,TreeView,http://taxonomy.zoology.gla.ac.uk/rod/treeview.html,TreeView is a simple program for displaying phylogenies,freely available,,kapil,
195,PHYLIP,http://evolution.genetics.washington.edu/phylip/getme.html,PHYLIP is a free package of programs for inferring phylogenies.,freely available,,kapil,
196,Ridom SeqSphere+,http://www.ridom.de/seqsphere/," NGS microbial typing solution for any bacteria, any study type, any lab.  Combining the best - Comparability of MLST and discriminatory power of PFGE. ",paid,,kapil,
197,RDP,http://rdp.cme.msu.edu/,"RDP provides quality-controlled, aligned and annotated Bacterial and Archaeal 16S rRNA sequences, and Fungal 28S rRNA sequences,and a suite of analysis tools to the scientific community.",freely available,,kapil,
198,DIVEIN,http://indra.mullins.microbiol.washington.edu/DIVEIN/diver.html,DIVEIN is a web service that performs automated maximum likelihood phylogenetic analyses of nucleotide and amino acid sequences.,freely available,,kapil,
199,A T G C,http://www.atgc-montpellier.fr/ReplacementMatrix/,Maximum likelihood estimation of amino acid replacement rate matrix,freely available,,kapil,
200,simNGS,http://www.ebi.ac.uk/goldman-srv/simNGS/,simNGS is software for simulating observations from Illumina sequencing machines using the statistical models behind the AYB base-calling software.,freely available,,kapil,
201,SLR,http://www.ebi.ac.uk/goldman-srv/SLR/,"SLR[1] is a program to detect sites in coding DNA that are unusually conserved and/or unusually variable (that is, evolving under purify or positive selection) by analysing the pattern of changes for an alignment of sequences on an evolutionary tree",freely available,,kapil,
202,RNAcode,http://wash.github.io/rnacode/,RNAcode predicts protein coding regions in a a set of homologous nucleotide sequences.,freely available,,kapil,
203,PhyloSim,http://www.ebi.ac.uk/goldman-srv/phylosim/#download,PhyloSim is an extensible object-oriented framework for the Monte Carlo simulation of sequence evolution written in 100 percent R,freely available,,kapil,
204,KAlignmentViewer,http://www.ebi.ac.uk/goldman-srv/kav/dload/,KAlignmentViewer ('kav') is a Qt interface for the display and browsing of multiple sequence alignments.,freely available,,kapil,
205,AYB,https://github.com/timmassingham/AYB2/,"  AYB is a base caller for the Illumina Genome Analyzer, using
 an explicit statistical model of how errors occur during sequencing to
produce more accurate reads from the raw intensity data. ",freely available,,kapil,
206,ESTScan,http://myhits.isb-sib.ch/cgi-bin/estscan,"can detect coding regions in DNA sequences, even if they are of low quality. It will also detect and correct sequencing errors that lead to frameshifts",freely available,,Pavitra,
207,Amira,http://www.fei.com/software/amira-3d-for-life-sciences/,"Software platform for visualizing, manipulating and understanding life science and bio-medical data coming from all types of sources and modalities.",Paid,http://www.dmoz.org/Science/Biology/Software/,l,
208,BioKM,http://www.labguru.com/,"Online laboratory management tool that allows researchers to plan, execute and monitor progress and research data.",Paid,http://www.dmoz.org/Science/Biology/Software/,Devesh Khandelwal,
209,BioSoft,http://www.biosoft.com/,"Programs for data analysis, graphics and statistics.",Paid,http://www.dmoz.org/Science/Biology/Software/,Devesh Khandelwal,Also produces many more softwares.
210,BioSpecimen Inventory System,http://www.bsisystems.com/,BSI-II is customizable specimen inventory management software.,Paid,http://www.dmoz.org/Science/Biology/Software/,Devesh Khandelwal,
211,BioVis3D,http://www.biovis3d.com/,Flexible and easy-to-use software designed for researchers to reconstruct 3D models from histological serial sections. A new feature is that single neurons can now be modeled in a 3D environment along with their interconnections.,Paid/Trial,http://www.dmoz.org/Science/Biology/Software/,Devesh Khandelwal,
212,Cells&Maps,http://www.bram.org/serf/CellsAndMaps.php,Downloadable freeware to analyse immunocytochemistry images.,Freeware,http://www.dmoz.org/Science/Biology/Software/,Devesh Khandelwal,
213,OBRC,http://www.hsls.pitt.edu/obrc/,Online Bioinformatics Resources Collection,Free,,Devesh Khandelwal,Online DB
214,iDigBio,https://www.idigbio.org/about-idigbio,The National Resource for Advancing Digitization of Biodiversity Collections (ADBC) funded by the National Science Foundation.,"Free
",,Devesh Khandelwal,Online DB
